project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,median_lead_time_annotator_in_s,avg_lead_time_annotator_in_s,avg_agreement_annotator
Assassin's Creed Unity,criticism-praise-game-content,12,3,17629,15,17.9,21.31,87.41
Assassin's Creed Unity,is-review-bombing,2,13,17629,15,17.9,21.31,87.41
Assassin's Creed Unity,criticism-praise-ideological,1,14,17629,15,17.9,21.31,87.41
Assassin's Creed Unity,criticism-praise-political,0,15,17629,15,17.9,21.31,87.41
Assassin's Creed Unity,criticism-praise-game-content,29,6,17750,35,18.01,33.24,89.21
Assassin's Creed Unity,criticism-praise-ideological,0,35,17750,35,18.01,33.24,89.21
Assassin's Creed Unity,is-rating-game-related,30,5,17750,35,18.01,33.24,89.21
Assassin's Creed Unity,criticism-praise-developer-publisher,18,17,17750,35,18.01,33.24,89.21
Assassin's Creed Unity,criticism-praise-political,9,26,17750,35,18.01,33.24,89.21
Assassin's Creed Unity,is-review-bombing,9,26,17750,35,18.01,33.24,89.21
Assassin's Creed Unity,is-rating-game-related,8,1,17758,9,60.65,72.56,100.0
Assassin's Creed Unity,criticism-praise-political,0,9,17758,9,60.65,72.56,100.0
Assassin's Creed Unity,criticism-praise-ideological,7,2,17758,9,60.65,72.56,100.0
Assassin's Creed Unity,is-review-bombing,0,9,17758,9,60.65,72.56,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,1,8,17758,9,60.65,72.56,100.0
Assassin's Creed Unity,criticism-praise-game-content,8,1,17758,9,60.65,72.56,100.0
Assassin's Creed Unity,is-review-bombing,5,25,17811,30,13.46,15.48,79.26
Assassin's Creed Unity,criticism-praise-developer-publisher,8,22,17811,30,13.46,15.48,79.26
Assassin's Creed Unity,criticism-praise-game-content,28,2,17811,30,13.46,15.48,79.26
Assassin's Creed Unity,criticism-praise-political,1,29,17811,30,13.46,15.48,79.26
Assassin's Creed Unity,criticism-praise-ideological,2,28,17811,30,13.46,15.48,79.26
Assassin's Creed Unity,is-rating-game-related,28,2,17811,30,13.46,15.48,79.26
Assassin's Creed Unity,criticism-praise-ideological,9,5,17911,14,55.54,65.74,100.0
Assassin's Creed Unity,is-review-bombing,7,7,17911,14,55.54,65.74,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,5,9,17911,14,55.54,65.74,100.0
Assassin's Creed Unity,criticism-praise-game-content,9,5,17911,14,55.54,65.74,100.0
Assassin's Creed Unity,criticism-praise-political,1,13,17911,14,55.54,65.74,100.0
Assassin's Creed Unity,is-rating-game-related,11,3,17911,14,55.54,65.74,100.0
Assassin's Creed Unity,criticism-praise-ideological,1,14,18232,15,26.96,35.44,85.19
Assassin's Creed Unity,criticism-praise-political,0,15,18232,15,26.96,35.44,85.19
Assassin's Creed Unity,criticism-praise-game-content,10,5,18232,15,26.96,35.44,85.19
Assassin's Creed Unity,is-review-bombing,3,12,18232,15,26.96,35.44,85.19
Assassin's Creed Unity,is-rating-game-related,10,5,18232,15,26.96,35.44,85.19
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,18232,15,26.96,35.44,85.19
Assassin's Creed Unity,criticism-praise-political,0,30,18236,30,28.01,35.02,88.89
Assassin's Creed Unity,is-rating-game-related,26,4,18236,30,28.01,35.02,88.89
Assassin's Creed Unity,criticism-praise-ideological,2,28,18236,30,28.01,35.02,88.89
Assassin's Creed Unity,criticism-praise-game-content,27,3,18236,30,28.01,35.02,88.89
Assassin's Creed Unity,criticism-praise-developer-publisher,8,22,18236,30,28.01,35.02,88.89
Assassin's Creed Unity,is-review-bombing,3,27,18236,30,28.01,35.02,88.89
Assassin's Creed Unity,criticism-praise-political,0,20,18248,20,19.56,25.85,88.33
Assassin's Creed Unity,criticism-praise-developer-publisher,3,17,18248,20,19.56,25.85,88.33
Assassin's Creed Unity,is-rating-game-related,19,1,18248,20,19.56,25.85,88.33
Assassin's Creed Unity,criticism-praise-game-content,19,1,18248,20,19.56,25.85,88.33
Assassin's Creed Unity,is-review-bombing,6,14,18248,20,19.56,25.85,88.33
Assassin's Creed Unity,criticism-praise-ideological,1,19,18248,20,19.56,25.85,88.33
Assassin's Creed Unity,is-review-bombing,8,7,18440,15,27.64,30.31,81.48
Assassin's Creed Unity,is-rating-game-related,13,2,18440,15,27.64,30.31,81.48
Assassin's Creed Unity,criticism-praise-game-content,13,2,18440,15,27.64,30.31,81.48
Assassin's Creed Unity,criticism-praise-ideological,9,6,18440,15,27.64,30.31,81.48
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,18440,15,27.64,30.31,81.48
Assassin's Creed Unity,criticism-praise-political,2,13,18440,15,27.64,30.31,81.48
Assassin's Creed Unity,is-rating-game-related,8,2,19069,10,22.17,28.44,86.67
Assassin's Creed Unity,criticism-praise-game-content,9,1,19069,10,22.17,28.44,86.67
Assassin's Creed Unity,criticism-praise-ideological,2,8,19069,10,22.17,28.44,86.67
Assassin's Creed Unity,criticism-praise-political,1,9,19069,10,22.17,28.44,86.67
Assassin's Creed Unity,is-review-bombing,4,6,19069,10,22.17,28.44,86.67
Assassin's Creed Unity,criticism-praise-developer-publisher,4,6,19069,10,22.17,28.44,86.67
Assassin's Creed Unity,is-rating-game-related,7,3,19146,10,27.01,42.22,74.44
Assassin's Creed Unity,criticism-praise-game-content,4,6,19146,10,27.01,42.22,74.44
Assassin's Creed Unity,criticism-praise-ideological,4,6,19146,10,27.01,42.22,74.44
Assassin's Creed Unity,is-review-bombing,4,6,19146,10,27.01,42.22,74.44
Assassin's Creed Unity,criticism-praise-political,1,9,19146,10,27.01,42.22,74.44
Assassin's Creed Unity,criticism-praise-developer-publisher,3,7,19146,10,27.01,42.22,74.44
Assassin's Creed Unity,criticism-praise-game-content,17,3,19561,20,16.38,20.36,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,4,16,19561,20,16.38,20.36,100.0
Assassin's Creed Unity,is-rating-game-related,19,1,19561,20,16.38,20.36,100.0
Assassin's Creed Unity,is-review-bombing,7,13,19561,20,16.38,20.36,100.0
Assassin's Creed Unity,criticism-praise-ideological,0,20,19561,20,16.38,20.36,100.0
Assassin's Creed Unity,criticism-praise-political,0,20,19561,20,16.38,20.36,100.0
