project,annotation_question,num_reviews_yes,num_reviews_no,annotator_id,num_annotated_reviews,avg_lead_time_annotator_in_s,avg_agreement_annotator
Assassin's Creed Unity,is-rating-game-related,8,2,17758,10,67.71,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,1,9,17758,10,67.71,100.0
Assassin's Creed Unity,is-review-bombing,0,10,17758,10,67.71,100.0
Assassin's Creed Unity,criticism-praise-game-content,8,2,17758,10,67.71,100.0
Assassin's Creed Unity,criticism-praise-political,3,27,17811,30,15.48,81.67
Assassin's Creed Unity,is-rating-game-related,30,0,17811,30,15.48,81.67
Assassin's Creed Unity,criticism-praise-developer-publisher,9,21,17811,30,15.48,81.67
Assassin's Creed Unity,is-review-bombing,5,25,17811,30,15.48,81.67
Assassin's Creed Unity,criticism-praise-ideological,4,26,17811,30,15.48,81.67
Assassin's Creed Unity,criticism-praise-game-content,30,0,17811,30,15.48,81.67
Assassin's Creed Unity,is-review-bombing,8,7,17911,15,62.58,100.0
Assassin's Creed Unity,criticism-praise-ideological,10,5,17911,15,62.58,100.0
Assassin's Creed Unity,criticism-praise-political,1,14,17911,15,62.58,100.0
Assassin's Creed Unity,criticism-praise-developer-publisher,5,10,17911,15,62.58,100.0
Assassin's Creed Unity,criticism-praise-game-content,9,6,17911,15,62.58,100.0
Assassin's Creed Unity,is-rating-game-related,11,4,17911,15,62.58,100.0
Assassin's Creed Unity,is-rating-game-related,10,5,18232,15,35.44,92.22
Assassin's Creed Unity,criticism-praise-political,0,15,18232,15,35.44,92.22
Assassin's Creed Unity,criticism-praise-game-content,10,5,18232,15,35.44,92.22
Assassin's Creed Unity,criticism-praise-ideological,2,13,18232,15,35.44,92.22
Assassin's Creed Unity,is-review-bombing,3,12,18232,15,35.44,92.22
Assassin's Creed Unity,criticism-praise-developer-publisher,4,11,18232,15,35.44,92.22
Assassin's Creed Unity,is-rating-game-related,26,4,18236,30,35.02,90.37
Assassin's Creed Unity,criticism-praise-game-content,27,3,18236,30,35.02,90.37
Assassin's Creed Unity,criticism-praise-developer-publisher,8,22,18236,30,35.02,90.37
Assassin's Creed Unity,criticism-praise-political,0,30,18236,30,35.02,90.37
Assassin's Creed Unity,criticism-praise-ideological,2,28,18236,30,35.02,90.37
Assassin's Creed Unity,is-review-bombing,3,27,18236,30,35.02,90.37
Assassin's Creed Unity,criticism-praise-developer-publisher,3,17,18248,20,25.85,86.39
Assassin's Creed Unity,is-rating-game-related,19,1,18248,20,25.85,86.39
Assassin's Creed Unity,criticism-praise-game-content,19,1,18248,20,25.85,86.39
Assassin's Creed Unity,criticism-praise-political,0,20,18248,20,25.85,86.39
Assassin's Creed Unity,is-review-bombing,6,14,18248,20,25.85,86.39
Assassin's Creed Unity,criticism-praise-ideological,1,19,18248,20,25.85,86.39
Assassin's Creed Unity,criticism-praise-game-content,13,2,18440,15,30.31,81.48
Assassin's Creed Unity,criticism-praise-developer-publisher,3,12,18440,15,30.31,81.48
Assassin's Creed Unity,is-rating-game-related,13,2,18440,15,30.31,81.48
Assassin's Creed Unity,is-review-bombing,8,7,18440,15,30.31,81.48
Assassin's Creed Unity,criticism-praise-ideological,9,6,18440,15,30.31,81.48
Assassin's Creed Unity,criticism-praise-political,2,13,18440,15,30.31,81.48
